Unidad,2019,2018,2017,2016,2015
0801902046 Barcelona sección 02046,15659,15257,14398,14176,14253
0801902047 Barcelona sección 02047,16668,16126,16025,15610,14995
0801902048 Barcelona sección 02048,16140,15991,15157,14809,15035
0801902049 Barcelona sección 02049,15890,15112,14250,14210,14364
0801902050 Barcelona sección 02050,16535,16220,15316,15515,14958
0801902051 Barcelona sección 02051,15335,15701,15410,14770,15203
0801902052 Barcelona sección 02052,16917,16705,16228,15548,14829
0801902053 Barcelona sección 02053,18684,17925,16615,17072,15699
0801902054 Barcelona sección 02054,18114,17960,16703,16693,16329
0801902055 Barcelona sección 02055,18793,17931,17667,16895,17038
0801902056 Barcelona sección 02056,19107,18292,17141,18193,16965
0801902057 Barcelona sección 02057,23120,22698,21575,21498,20260
0801902058 Barcelona sección 02058,20873,20720,19826,19217,18479
0801902059 Barcelona sección 02059,21874,21084,20515,20163,19355
0801902060 Barcelona sección 02060,19172,18231,18931,17969,17639
0801902061 Barcelona sección 02061,18531,17755,16258,16094,15374
0801902062 Barcelona sección 02062,21592,21403,19945,18665,18289
0801902063 Barcelona sección 02063,26837,25543,25925,25297,24794
0801902064 Barcelona sección 02064,23302,22856,22272,21716,21470
0801902065 Barcelona sección 02065,20387,20280,19139,18062,18021
0801902066 Barcelona sección 02066,19876,19046,18641,18655,17838
0801902067 Barcelona sección 02067,17113,16924,16563,15892,15359
0801902068 Barcelona sección 02068,17927,17877,16980,16617,16183
0801902069 Barcelona sección 02069,20527,18651,20079,18926,18812
0801902070 Barcelona sección 02070,22688,19812,19480,18908,19525
0801902071 Barcelona sección 02071,22484,22772,21082,20652,19783
0801902072 Barcelona sección 02072,25420,24903,24078,22971,21388
0801902073 Barcelona sección 02073,23183,22108,20858,21470,19421
0801902074 Barcelona sección 02074,20833,22684,20896,22009,19254
0801902075 Barcelona sección 02075,20988,19707,20297,18141,17179
0801902076 Barcelona sección 02076,24716,23250,21747,21120,20078
0801902077 Barcelona sección 02077,20947,21777,21540,20292,22163
0801902078 Barcelona sección 02078,29083,23726,25042,23276,22484
0801902079 Barcelona sección 02079,25922,24868,23417,27459,28350
0801902080 Barcelona sección 02080,24978,25724,25328,26047,23887
0801902081 Barcelona sección 02081,26873,24851,23881,23798,22073
0801902082 Barcelona sección 02082,24770,22832,22869,20705,20957
0801902083 Barcelona sección 02083,28750,30898,27554,26699,22987
0801902084 Barcelona sección 02084,20851,21244,18939,19148,18890
0801902085 Barcelona sección 02085,21194,20831,20400,20169,18849
0801902086 Barcelona sección 02086,22843,22469,20718,19894,19695
0801902087 Barcelona sección 02087,21130,20372,19512,18283,18412
0801902088 Barcelona sección 02088,21996,21130,20821,19260,18977
0801902089 Barcelona sección 02089,20664,20322,19323,18202,17366
0801902090 Barcelona sección 02090,19148,17973,17862,17317,17301
0801902091 Barcelona sección 02091,19495,20298,18141,17602,17382
0801902092 Barcelona sección 02092,19353,18579,18209,17150,17097
0801902093 Barcelona sección 02093,20385,19949,19102,18121,18116
0801902094 Barcelona sección 02094,19962,19765,19958,19518,18515
0801902095 Barcelona sección 02095,19234,19232,18301,17152,17090
0801902096 Barcelona sección 02096,18715,17922,17098,17026,15936
0801902097 Barcelona sección 02097,17777,17381,16521,15765,14954
0801902098 Barcelona sección 02098,19130,18168,17081,16742,16512
0801902099 Barcelona sección 02099,20375,19920,19553,19161,18658
0801902100 Barcelona sección 02100,19680,19652,19048,18100,18243
0801902101 Barcelona sección 02101,18341,18729,17282,17321,17060
0801902102 Barcelona sección 02102,23702,22416,21233,20484,19789
0801902103 Barcelona sección 02103,17842,16527,16235,15382,14945
0801902104 Barcelona sección 02104,21352,21095,20209,19911,19561
0801902105 Barcelona sección 02105,17731,16944,16630,16262,15896
0801902106 Barcelona sección 02106,21729,21128,21125,20464,20244
0801902107 Barcelona sección 02107,21815,22517,21779,21333,20612
0801902108 Barcelona sección 02108,24114,24789,22839,21097,21004
0801902109 Barcelona sección 02109,24817,24730,22935,21632,21460
0801902110 Barcelona sección 02110,18641,18333,17067,16804,16917
0801902111 Barcelona sección 02111,19952,18979,18214,18094,18119
0801902112 Barcelona sección 02112,24455,22509,22092,21613,20175
0801902113 Barcelona sección 02113,23246,22474,21023,21323,20358
0801902114 Barcelona sección 02114,19136,18723,18130,17744,18236
0801902115 Barcelona sección 02115,17152,16952,16865,15509,15459
0801902116 Barcelona sección 02116,22275,21981,20883,21066,19380
0801902117 Barcelona sección 02117,18934,19702,18962,18048,18019
0801902118 Barcelona sección 02118,21091,21076,20066,19307,19380
0801902119 Barcelona sección 02119,20113,19569,19324,17441,17628
0801902120 Barcelona sección 02120,18759,18269,17454,17364,17015
0801902121 Barcelona sección 02121,19220,19833,18979,17811,17578
0801902122 Barcelona sección 02122,21178,21954,22501,22535,20946
0801902123 Barcelona sección 02123,18655,20102,17645,16794,16312
0801902124 Barcelona sección 02124,20682,20233,19523,19385,18823
0801902125 Barcelona sección 02125,19331,18614,18489,17752,17343
0801902126 Barcelona sección 02126,20147,20251,18298,18636,16944
0801902127 Barcelona sección 02127,18340,17824,17145,16519,16663
0801902128 Barcelona sección 02128,17586,17171,15964,16073,15476
0801902129 Barcelona sección 02129,18787,18359,18583,17624,17051
0801902130 Barcelona sección 02130,26827,26152,25373,24603,23832
0801902131 Barcelona sección 02131,17851,17565,16436,16138,16176
0801902132 Barcelona sección 02132,19534,17365,16621,16113,15853
0801902133 Barcelona sección 02133,19534,18762,18569,18209,17917
0801902134 Barcelona sección 02134,17450,17640,16917,16381,15943
0801902135 Barcelona sección 02135,16458,15383,15207,14852,14829
0801902136 Barcelona sección 02136,18747,19060,17982,18958,18546
0801902137 Barcelona sección 02137,16354,15796,14466,15258,14847
0801902138 Barcelona sección 02138,19822,18727,18343,17850,17409
0801902139 Barcelona sección 02139,16929,16303,15672,15019,14937
0801902140 Barcelona sección 02140,18527,17905,17368,16398,16786
0801902141 Barcelona sección 02141,17111,16608,16320,15571,15897
0801902142 Barcelona sección 02142,15608,15481,14657,14044,13852
0801902143 Barcelona sección 02143,19381,17998,18123,16253,16563
0801902144 Barcelona sección 02144,20633,18194,17890,17086,17154
0801902145 Barcelona sección 02145,17729,17371,16244,15502,15939
0801902146 Barcelona sección 02146,18213,17774,17166,17693,15695
0801902147 Barcelona sección 02147,17818,16302,15533,14782,14633
0801902148 Barcelona sección 02148,19275,18433,17352,16950,16465
0801902149 Barcelona sección 02149,15058,17976,16679,15606,15054
0801902150 Barcelona sección 02150,15967,15742,15236,14478,13788
0801902151 Barcelona sección 02151,17241,16557,16521,16439,15228
0801902152 Barcelona sección 02152,19601,19084,18184,18634,17878
0801902153 Barcelona sección 02153,18885,18000,19013,16537,16565
0801902154 Barcelona sección 02154,14654,14276,13499,13490,13262
0801902155 Barcelona sección 02155,15946,15692,14604,14386,13823
0801902156 Barcelona sección 02156,17935,16846,15996,15733,15092
0801902157 Barcelona sección 02157,16193,14945,14770,15253,14135
0801902158 Barcelona sección 02158,17064,17076,16512,16457,16885
0801902159 Barcelona sección 02159,17449,17110,16496,15699,15555
0801902160 Barcelona sección 02160,19482,18409,18153,17333,16653
0801902161 Barcelona sección 02161,17004,16743,16392,15289,15223
0801902162 Barcelona sección 02162,15956,15181,14682,14255,14067
0801902163 Barcelona sección 02163,18539,17558,17039,17081,17013
0801902164 Barcelona sección 02164,17400,17510,17777,17074,16411
0801902165 Barcelona sección 02165,18078,17060,16377,16575,16003
0801902166 Barcelona sección 02166,16460,15793,15387,15224,14528
0801902167 Barcelona sección 02167,17125,16940,16405,16171,15451
0801902168 Barcelona sección 02168,16999,16843,16000,15107,15413
0801902169 Barcelona sección 02169,16828,15775,15037,14625,13675
0801902170 Barcelona sección 02170,16482,15645,15411,15028,13508
0801902171 Barcelona sección 02171,14803,14511,13857,13874,13581
0801902172 Barcelona sección 02172,15435,14689,14495,13068,13354
0801902173 Barcelona sección 02173,16726,15835,15582,14846,15007
0801903 Barcelona distrito 03,14460,13956,13432,13078,12793
0801903001 Barcelona sección 03001,14310,13704,13241,12846,12432
0801903002 Barcelona sección 03002,12925,12400,11717,11324,10923
0801903003 Barcelona sección 03003,11422,11128,10434,10486,10736
0801903004 Barcelona sección 03004,14485,13848,13302,13030,13549
0801903005 Barcelona sección 03005,12838,12582,12352,11982,11704
0801903006 Barcelona sección 03006,13084,12239,11536,10910,10764
0801903007 Barcelona sección 03007,12966,12109,11900,11611,10962
0801903008 Barcelona sección 03008,13040,12564,11991,11473,10348
0801903009 Barcelona sección 03009,13838,13108,13000,12251,11954
0801903010 Barcelona sección 03010,12477,11926,11239,10607,10750
0801903011 Barcelona sección 03011,10382,9839,9692,9151,9499
0801903012 Barcelona sección 03012,12586,11468,11576,11396,11221
0801903013 Barcelona sección 03013,12318,11485,11044,10136,9728
0801903014 Barcelona sección 03014,11551,10931,10180,9833,9431
0801903015 Barcelona sección 03015,11936,11586,11122,10488,10417
0801903016 Barcelona sección 03016,11377,10657,10441,9754,9263
0801903017 Barcelona sección 03017,11762,10696,10316,10320,9689
0801903018 Barcelona sección 03018,12180,11597,11481,10981,10934
0801903019 Barcelona sección 03019,11922,11614,11042,11029,10638
0801903020 Barcelona sección 03020,15055,14433,14183,13552,13332
0801903021 Barcelona sección 03021,14423,14306,13903,13775,13556
0801903022 Barcelona sección 03022,13665,13251,12795,12326,12131
0801903023 Barcelona sección 03023,11890,11519,11187,10673,9864
0801903024 Barcelona sección 03024,12582,12048,12007,11566,11076
0801903025 Barcelona sección 03025,10411,10139,9917,9411,9003
0801903026 Barcelona sección 03026,13872,13888,13438,13070,13027
0801903027 Barcelona sección 03027,14135,13652,13044,12665,12534
0801903028 Barcelona sección 03028,15480,15252,14942,15021,14633
0801903029 Barcelona sección 03029,12644,12058,11155,11082,10729
0801903030 Barcelona sección 03030,13948,13166,13031,12508,12272
0801903031 Barcelona sección 03031,12907,12258,12162,11594,11395
0801903032 Barcelona sección 03032,11875,11278,10628,10658,10118
0801903033 Barcelona sección 03033,10135,9723,9313,9143,9002
0801903034 Barcelona sección 03034,13361,12649,12588,12225,11809
0801903035 Barcelona sección 03035,14046,13188,12801,12630,12299
0801903036 Barcelona sección 03036,15173,14925,13839,14218,13696
0801903037 Barcelona sección 03037,14163,13403,13263,12833,12092
0801903038 Barcelona sección 03038,10125,9765,9034,8740,8614
0801903039 Barcelona sección 03039,10066,9704,9361,9384,9067
0801903040 Barcelona sección 03040,17931,16966,16363,15842,16086
0801903041 Barcelona sección 03041,14535,14015,13640,12923,12582
0801903042 Barcelona sección 03042,13898,13684,13524,12728,12412
0801903043 Barcelona sección 03043,15633,14962,14074,13903,13296
0801903044 Barcelona sección 03044,13866,13158,12904,12464,12275
0801903045 Barcelona sección 03045,15284,14746,14554,14441,14098
0801903046 Barcelona sección 03046,18559,18986,18309,17213,17089
0801903047 Barcelona sección 03047,14274,14040,13228,12890,12525
0801903048 Barcelona sección 03048,17748,17121,17016,16394,16361
0801903049 Barcelona sección 03049,15318,15128,14809,14391,13973
0801903050 Barcelona sección 03050,16287,15490,14854,14498,13779
0801903051 Barcelona sección 03051,13356,12291,12162,11897,11683
0801903052 Barcelona sección 03052,13756,13041,12320,12068,11381
0801903053 Barcelona sección 03053,13473,13222,12955,12463,11950
0801903054 Barcelona sección 03054,15657,15118,14465,14419,14207
0801903055 Barcelona sección 03055,15787,14576,14268,13912,13505
0801903056 Barcelona sección 03056,15483,15234,14462,14130,14336
0801903057 Barcelona sección 03057,14870,13961,13301,13118,12697
0801903058 Barcelona sección 03058,18417,17982,15958,16013,15190
0801903059 Barcelona sección 03059,14331,13236,12427,12494,12286
0801903060 Barcelona sección 03060,16408,15862,15769,14811,14449
0801903061 Barcelona sección 03061,14131,13388,13520,13006,12643
0801903062 Barcelona sección 03062,15185,14639,13788,13294,13045
0801903063 Barcelona sección 03063,14000,13376,13374,12652,11942
0801903064 Barcelona sección 03064,15939,14843,14114,14167,13741
0801903065 Barcelona sección 03065,16074,15220,15333,14329,13842
0801903066 Barcelona sección 03066,14299,13933,13767,13416,12941
0801903067 Barcelona sección 03067,15269,14647,14286,13865,13457
0801903068 Barcelona sección 03068,13845,13441,13028,12777,13376
0801903069 Barcelona sección 03069,16326,15483,15426,14821,14302
0801903070 Barcelona sección 03070,12983,12800,12214,12120,11889
0801903071 Barcelona sección 03071,12973,12185,11883,11423,11381
0801903072 Barcelona sección 03072,13389,13393,12404,11912,11743
0801903073 Barcelona sección 03073,15846,15196,14562,13518,14000
0801903074 Barcelona sección 03074,15066,14124,13527,13327,12816
0801903075 Barcelona sección 03075,14137,13625,13076,12877,12802
0801903076 Barcelona sección 03076,13491,12797,12975,12966,13124
0801903077 Barcelona sección 03077,14128,14291,13515,12880,12947
0801903078 Barcelona sección 03078,14315,14216,13317,13166,12846
0801903079 Barcelona sección 03079,12874,12633,12126,11377,11323
0801903080 Barcelona sección 03080,14854,14545,13398,13769,13484
0801903081 Barcelona sección 03081,15075,15084,14729,14542,13893
0801903082 Barcelona sección 03082,16600,16560,16073,15992,15599
0801903083 Barcelona sección 03083,16685,15996,14851,15339,17566
0801903084 Barcelona sección 03084,16219,15924,15003,14987,14764
0801903085 Barcelona sección 03085,16535,15975,14908,14059,13797
0801903086 Barcelona sección 03086,19698,19949,18839,20008,18919
0801903087 Barcelona sección 03087,18589,18253,17011,17609,16618
0801903088 Barcelona sección 03088,16291,15523,14871,14351,14073
0801903089 Barcelona sección 03089,17771,17070,16489,16651,16726
0801903090 Barcelona sección 03090,19466,18391,17411,18062,18478
0801903091 Barcelona sección 03091,17201,16243,16111,15590,14926
0801903092 Barcelona sección 03092,16976,16143,15147,14613,13822
0801903093 Barcelona sección 03093,17247,16532,15766,15404,14873
0801903094 Barcelona sección 03094,17441,17167,16467,16152,15785
0801903095 Barcelona sección 03095,15939,15405,14460,13924,13783
0801903096 Barcelona sección 03096,13812,14126,13369,12945,12512
0801903097 Barcelona sección 03097,11523,11213,10467,9796,9088
0801903098 Barcelona sección 03098,13577,13531,12906,12229,11718
0801903099 Barcelona sección 03099,15162,14649,13905,14183,13446
0801903100 Barcelona sección 03100,14582,14474,14399,13733,13396
0801903101 Barcelona sección 03101,15038,15268,13613,12571,12621
0801903102 Barcelona sección 03102,15680,14920,14227,14242,14250
0801903103 Barcelona sección 03103,15511,15018,14780,14347,14383
0801903104 Barcelona sección 03104,14540,14282,13313,12718,12908
0801903105 Barcelona sección 03105,14901,13783,13231,13368,12415
0801903106 Barcelona sección 03106,15592,14662,13767,13515,13125
0801903107 Barcelona sección 03107,16576,16555,15499,15988,15774
0801903108 Barcelona sección 03108,15200,15060,14173,13600,13167
0801903109 Barcelona sección 03109,16394,15480,14745,14320,13946
0801903110 Barcelona sección 03110,16411,15766,15548,14931,14848
0801903111 Barcelona sección 03111,16527,15878,14844,14324,14117
0801903112 Barcelona sección 03112,19431,18966,18521,17441,16971
0801903113 Barcelona sección 03113,20721,21320,20269,19639,19264
0801903114 Barcelona sección 03114,20059,19234,19184,18043,17899
0801903211 Barcelona sección 03211,13840,13583,12937,12498,12460
0801903212 Barcelona sección 03212,12751,12394,11958,11947,11665
0801903213 Barcelona sección 03213,10532,10155,9884,9468,9297
0801904 Barcelona distrito 04,22995,22404,21637,21376,20195
0801904001 Barcelona sección 04001,18283,17818,17305,17480,16411
0801904002 Barcelona sección 04002,21108,20773,20150,20093,19577
0801904003 Barcelona sección 04003,20048,19315,19084,18790,17199
0801904004 Barcelona sección 04004,19515,18989,18331,17687,17189
0801904005 Barcelona sección 04005,18105,17590,17016,17087,17163
0801904006 Barcelona sección 04006,19592,18621,18270,16987,16742
0801904007 Barcelona sección 04007,15957,15853,15190,14977,14731
0801904008 Barcelona sección 04008,17089,16003,16613,16273,15366
0801904009 Barcelona sección 04009,19504,18718,18240,17517,16737
0801904010 Barcelona sección 04010,21679,20598,20010,19909,18727
