fecha,indicativo,tmin,longitud,latitud
2021-01-08,4410X,2.5,-6.385556,38.915833
2021-01-08,1331A,-1.7,-7.031389,43.524722
2021-01-08,1690A,-1.4,-7.859722,42.325278
2021-01-08,8489X,-4.6,-0.255833,40.433333
2021-01-08,8025,6.3,-0.494167,38.3725
2021-01-08,2331,-5.9,-3.620278,42.356944
2021-01-08,9434,-2.9,-1.004167,41.660556
2021-01-08,1109,-0.6,-3.825556,43.423889
2021-01-08,6293X,9,-2.701667,36.686944
2021-01-08,1212E,-0.6,-6.044167,43.566944
2021-01-08,9394X,-5.5,-1.645278,41.331111
2021-01-08,3094B,-2.2,-3.021389,40.011389
2021-01-08,1059X,2.1,-3.021667,43.375
2021-01-08,1207U,-2.6,-5.621111,43.523056
2021-01-08,6367B,4.3,-1.943611,37.390556
2021-01-08,7228,3.4,-1.228611,37.957778
2021-01-08,7002Y,6.9,-1.586944,37.417222
2021-01-08,3191E,-2.9,-3.765,40.696111
2021-01-08,0016A,-3,1.163611,41.145
2021-01-08,8058X,5.2,-0.095833,38.928889
2021-01-08,0367,-3.7,2.763333,41.911667
2021-01-08,7247X,1,-1.038056,38.399722
2021-01-08,3200,-1.6,-3.722222,40.299444
2021-01-08,3175,-5.6,-3.443611,40.488611
2021-01-08,3129,-4.3,-3.555556,40.466667
2021-01-08,1014A,-3,-1.792222,43.356944
2021-01-08,7031X,6.2,-0.805833,37.778333
2021-01-08,7209,3.2,-1.687222,37.654722
2021-01-08,3519X,-1.1,-6.085833,40.043056
2021-01-08,2755X,-5.7,-5.666667,42.010833
2021-01-08,8175,-0.2,-1.856389,38.954167
2021-01-08,9244X,-8.8,-1.213611,42.490833
2021-01-08,6277B,9.3,-3.020556,36.747222
2021-01-08,9170,-2.1,-2.331111,42.452222
2021-01-08,7031,5.5,-0.803333,37.788889
2021-01-08,5181D,3,-2.889722,38.314722
2021-01-08,B691Y,6.6,3.016667,39.749167
2021-01-08,1159,0.1,-4.392222,43.393333
2021-01-08,3260B,-1.1,-4.045278,39.884722
2021-01-08,3194U,-3,-3.724167,40.451667
2021-01-08,1283U,0.8,-6.47,43.569167
2021-01-08,1083L,2.2,-3.233889,43.394722
2021-01-08,2117D,-10.2,-3.742778,41.665833
2021-01-08,5514,3.5,-3.631389,37.137222
2021-01-08,B248,-0.2,2.713056,39.735
2021-01-08,5860E,5.4,-6.738056,37.098056
2021-01-08,2465,-7.4,-4.126389,40.945278
2021-01-08,B228,6.7,2.625278,39.555278
2021-01-08,B013X,3.1,2.885833,39.823333
2021-01-08,4090Y,-0.1,-2.420556,39.416667
